H,albedo,rot_per,spec_B
9.86,0.044,3.145272340823566,C
12.69,0.178,1.9618537994524492,S
13.01,0.294,1.5054098420100528,S
11.49,0.233,1.990337066597015,K
12.57,0.309,5.735281141715572,S
12.66,0.274,1.2725627946671765,S
12.5,0.296,1.441729068007991,S
12.13,0.042,2.282535435188342,C
12.03,0.44,5.356114465274254,S
11.17,0.232,1.8896420950299224,X
11.17,0.242,1.5340676054093239,S
13.04,0.335,1.9397483469415042,S
12.33,0.333,1.4152947550533477,S
12.16,0.383,1.8583271801667258,L
11.68,0.152,1.4480947620253375,X
16.09,0.25,1.4024137429997738,Q
15.35,0.24,2.1345214079467905,S
14.83,0.273,2.258842170046127,S
16.77,0.22,2.054623608737197,S
12.48,0.15,1.2237754316221157,S
11.62,0.124,3.258096538021482,K
11.89,0.274,2.489313591606207,S
12.15,0.208,1.6054298910365616,X
10.53,0.071,7.492760300922379,K
11.11,0.581,1.8556727949717078,R
14.38,0.195,1.3053554186145386,S
12.91,0.393,1.3834653632763434,V
11.11,0.067,2.643049350884796,C
13.67,0.219,4.181989072074147,S
11.78,0.031,3.0277637443846546,C
15.68,0.17,1.3530555208369799,L
14.09,0.0895,1.8408035694069775,A
11.79,0.178,1.8251620075283808,S
12.39,0.051,2.5659565423881627,C
11.79,0.15,2.135467369942364,S
13.8,0.25,2.1097427866891296,S
12.57,0.192,4.88507207112091,C
12.26,0.126,1.9643112344262046,X
13.06,0.81,1.8698001742309183,X
12.43,0.496,1.316247362807856,S
11.86,0.175,2.717340248009303,S
13.12,0.257,1.5594069788285354,S
12.45,0.649,4.543294782270004,X
11.99,0.168,4.571268979139937,S
11.63,0.031,2.4307144207045734,C
12.15,0.249,5.073297055220967,V
11.94,0.251,2.5340142238950283,S
12.39,0.351,7.203405521083095,S
5.54,0.15,1.934126710514977,C
17.11,0.26,3.764682417529437,S
17.21,0.203,2.766570649914218,S
12.69,0.0549,1.6549847273900706,S
12.48,0.062,2.9530856988325183,X
13.02,0.154,1.5173226235262949,X
14.07,0.491,1.2620907576605844,S
13.0,0.404,2.011296524948153,S
11.94,0.131,5.383990348286186,L
12.53,0.571,4.37197629882038,X
13.12,0.284,1.961361586947346,S
12.86,0.35,4.1034694699991014,S
11.39,0.276,5.335613151291733,S
15.11,0.056,2.0072739933777735,C
16.24,0.13,3.0348087455357837,X
16.0,0.245,1.2190584417439767,Q
12.61,0.073,2.070615203909708,C
11.63,0.175,2.919822679453641,S
11.81,0.214,2.783157673589016,S
12.81,0.244,1.27194915933503,S
11.69,0.314,2.769508984712858,S
12.25,0.038,2.7156876282314215,C
10.85,0.047,1.9427623427645824,C
12.14,0.17,5.000248201209769,S
