H,albedo,rot_per,spec_B
8.42,0.094,3.029843803182759,K
9.11,0.205,3.313254662016655,L
8.19,0.156,2.5906171042101143,L
9.15,0.2108,3.408338489813522,S
8.04,0.039,2.2899961841536327,C
9.14,0.031,2.4479832956834024,C
7.73,0.0575,2.8039662579320366,B
9.51,0.222,1.713401452776127,X
10.07,0.262,1.7288196694541809,S
11.99,0.256,4.8714498521794365,S
7.96,0.228,2.733067964077498,S
8.62,0.193,2.8461876362739735,A
8.15,0.064,2.572077736245616,X
7.68,0.112,1.8008017972122838,X
10.35,0.0436,6.037154673025098,C
9.68,0.0545,2.81597741995735,C
8.25,0.1676,2.401615616457,S
7.81,0.043,2.2129885591822895,X
9.54,0.137,2.197446774870741,X
10.24,0.198,2.879703947493869,S
8.3,0.187,2.3250899483341154,S
8.72,0.027,2.640342218078133,C
10.23,0.051,2.157328080336907,D
9.7,0.061,3.530118161728995,L
10.85,0.128,1.5799679062500693,X
9.03,0.049,2.768392430108372,C
9.39,0.247,2.014502940520925,S
8.59,0.0412,3.214707147995981,X
12.05,0.226,1.6767226592396967,S
11.11,0.0502,3.9189986191645714,B
10.3,0.0602,2.2560174571777107,C
9.07,0.0508,2.795144907953144,C
9.86,0.175,7.065613363597717,S
9.72,0.889,2.067115891989199,A
10.04,0.171,2.4597597673660445,S
10.49,0.057,2.5842239418985415,C
10.03,0.047,2.963209081848431,X
8.76,0.201,2.275830355685226,S
8.17,0.047,2.567331134162769,T
10.19,0.115,2.570319527636131,S
8.95,0.23,2.4232085353177846,S
9.75,0.926,2.215828229067764,X
10.07,0.425,1.3535128715955111,S
9.15,0.089,2.922327899970578,X
10.02,0.214,1.9361483718533596,S
9.93,0.0447,3.2701391188057425,C
9.67,0.1719,2.1980464617189237,X
9.09,0.049,2.5690946002130257,B
9.94,0.054,2.687561738674874,X
8.96,0.135,1.7321863776931536,X
8.59,0.276,1.7242654738648393,X
9.4,0.198,1.9421889482534593,K
10.24,0.035,1.99047370661909,C
9.05,0.052,2.5930881826325285,C
7.31,0.332,3.385169620584958,S
9.58,0.0448,2.125991102332816,X
5.97,0.384,1.7406415980494447,R
10.1,0.195,2.138889000323256,S
10.93,0.392,1.3188128469568674,S
6.17,0.201,1.6633577544235307,S
10.28,0.341,1.763017000362401,S
9.13,0.05,3.9435216724875173,C
9.4,0.2621,1.8774783446305925,X
8.49,0.043,1.9717171230926644,C
9.03,0.059,2.240816066596414,X
9.21,0.05,2.617760729754749,C
8.66,0.091,2.6200565236315785,C
8.74,0.234,2.462925150473272,S
7.4,0.059,2.25831967669603,B
8.77,0.3014,2.074730461949717,S
7.48,0.037,2.884744845364363,X
9.56,0.321,2.167910189667444,S
9.11,0.06,2.538763322578711,C
9.81,0.339,1.6956156086751528,S
9.1,0.046,2.717406296026235,C
8.38,0.064,2.0244572333470763,C
10.04,0.04,2.0049873557548885,B
9.38,0.192,6.006106823844852,S
7.75,0.0692,2.376114326282161,C
7.49,0.19,3.2246192994952665,L
8.71,0.042,2.352897906867635,C
7.97,0.225,2.2510075476847136,S
10.85,0.29,3.3102144922835888,S
9.73,0.173,2.6431916287537134,C
8.37,0.022,3.6751607819729983,X
9.71,0.294,2.863913698933143,S
10.52,0.033,3.0292154043705395,C
10.11,0.126,2.731310894676762,X
9.35,0.139,2.8021475244813256,K
10.71,0.054,3.090951540134925,C
8.91,0.311,2.316093443018838,X
9.1,0.164,2.456507175266302,K
9.03,0.173,2.586485022150366,S
9.13,0.037,2.291220762914996,C
8.79,0.018,2.3933394562625097,C
7.66,0.054,2.304782676537533,X
8.43,0.043,3.5115454388310208,C
9.14,0.044,3.0269886632045453,C
10.04,0.129,2.819770450712618,X
9.62,0.027,2.4853232296732166,C
7.72,0.1689,1.8519133920478021,S
9.67,0.072,2.0836825359370903,X
7.38,0.067,1.7535382564078572,C
9.76,0.042,2.9180409658381192,C
9.08,0.055,2.6762154775821916,B
9.08,0.2338,2.2248397443691927,S
10.39,0.25,1.8357763546448294,S
11.2,0.726,3.314949349614265,X
8.65,0.204,2.4376403239869107,X
9.96,0.044,2.5549767186672407,C
10.14,0.21,3.034712573194875,S
8.06,0.051,1.9760235824813472,C
8.85,0.317,2.8178787203495443,A
10.56,0.137,2.0556610130144324,S
9.1,0.286,2.9591201550572586,S
9.75,0.191,3.127023659235167,L
10.74,0.262,5.1065513509260825,K
9.32,0.259,2.267890123197159,S
9.71,0.045,2.630376906373703,C
10.05,0.148,5.694405312843604,S
6.34,0.164,2.093467713412928,S
8.7,0.035,3.3439213138424253,X
10.26,0.246,3.016171952791447,S
7.93,0.174,2.839663087904102,L
9.81,0.071,2.3469846802907304,C
8.79,0.032,2.735146426763911,C
9.69,0.222,2.453587966530573,S
8.24,0.2072,2.922623801733353,S
8.66,0.059,2.189416394888408,C
9.0,0.037,2.762285829243884,C
9.28,0.065,3.723763855967438,C
11.75,0.193,6.9782137426306985,S
9.29,0.0585,3.685649242593651,C
10.13,0.239,2.1502494316903475,X
9.21,0.198,1.7415182527913082,X
8.39,0.253,2.588215061319696,S
6.41,0.076,1.8131458091094275,C
10.76,0.1772,1.8847943351952443,S
9.5,0.089,1.7561322915849038,K
10.93,0.039,2.4541037406329553,C
8.35,0.202,2.138205610210529,X
9.14,0.246,2.942436976495767,S
8.57,0.073,3.383678145443217,C
10.01,0.2512,2.400618833265411,X
10.41,0.039,3.7784916128036232,C
12.05,0.101,2.8739035651888574,B
5.92,0.285,2.3422864598455977,S
9.82,0.252,2.5379733707246928,S
9.64,0.213,2.340073537405037,S
10.23,0.052,2.701562534966656,C
10.25,0.055,3.4133894224275174,B
9.48,0.144,2.461126121122597,X
8.8,0.041,2.1041341542702074,C
9.99,0.101,2.3130303508555845,X
9.79,0.04,2.9132198519795267,C
12.39,0.287,2.6104373722352094,S
9.28,0.0496,2.6887178632026343,C
10.93,0.119,3.020815053921454,B
9.51,0.201,1.6663851928758506,S
9.54,0.05,2.403244576093223,X
10.94,0.062,3.4311768074033413,B
8.4,0.2477,1.900613874140137,S
10.45,0.05,2.290714920423558,X
10.04,0.0297,2.5332999098045734,C
8.88,0.069,2.210140802602766,T
11.77,0.298,4.846546505563361,S
10.9,0.089,1.8945717408681957,C
9.54,0.0769,2.403425407920117,X
8.01,0.1748,2.850128299695199,K
10.01,0.031,3.257865742159397,X
8.48,0.1987,1.8030290614862858,S
9.52,0.04,2.6858045921548905,C
9.68,0.155,2.1686536203481834,K
8.92,0.04,2.8242319553916198,T
9.32,0.2361,2.159130340581204,S
9.65,0.044,2.4757229416711826,X
8.68,0.115,2.357641298742124,K
10.27,0.227,1.9294322743531276,S
9.66,0.043,2.6803363625346943,C
9.58,0.09,1.8809296254871535,X
10.39,0.096,2.587388024694983,K
9.47,0.124,2.0765624009289927,L
11.03,0.094,1.7177540559175593,C
10.33,0.316,3.879768372698718,S
9.96,0.221,3.0918148822310356,S
9.22,0.032,3.0132283211707422,X
9.87,0.047,3.3634262839751567,X
10.07,0.14,1.5608777218187233,X
8.62,0.229,1.9313764735639716,S
9.96,0.203,2.543961412569315,S
9.9,0.043,2.5459547113529344,X
10.09,0.06,2.38663208051966,C
10.1,0.1617,2.222545718648287,L
12.88,0.345,2.4406934951116748,S
9.36,0.085,2.6018448842558817,K
8.6,0.027,3.4884448418930547,C
9.73,0.182,1.8773253575577018,K
12.12,0.042,3.1744640614973885,C
9.46,0.165,2.4019778368720806,S
